what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949839963
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949840272
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949840336
error,log,,,"Error rebuilding workspace OBR index",1327949842092
error,log,,,"say [in HelloBndTools [in [Working copy] HelloBndTools.java [in net.juniper.bndtool.api [in src/main/java [in api]]]]] does not exist",1327949852285
error,log,,,"sayHello [in HelloBndTools [in [Working copy] HelloBndTools.java [in net.juniper.bndtool.api [in src/main/java [in api]]]]] does not exist",1327949852325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327949852962
error,log,,,"Error rebuilding workspace OBR index",1327949853175
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949856165
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949856462
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1327949856611
error,log,,,"Error rebuilding workspace OBR index",1327949858292
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1327949860252
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1327949862792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949863862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949864139
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1327949873562
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1327949873663
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1327949873665
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1327949873805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327949880568
error,log,,,"Error rebuilding workspace OBR index",1327949880720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949882970
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949882971
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949884159
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949884159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949887804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949889410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327949889449
error,log,,,"Error rebuilding workspace OBR index",1327949889456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949897666
error,log,,,"Error rebuilding workspace OBR index",1327949899548
error,log,,,"Error rebuilding workspace OBR index",1327949903840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949903887
executed,command,org.eclipse.egit.ui,1.2.0.201112221803-r,"org.eclipse.egit.ui.team.AddToIndex",1327949910210
executed,command,org.eclipse.egit.ui,1.2.0.201112221803-r,"org.eclipse.egit.ui.team.AddToIndex",1327949921281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949936143
